city,x,y
Adana,-20.0,-65.0
Adıyaman,103.0,-30.0
Afyonkarahisar,-240.0,0.0
Ağrı,297.0,75.0
Amasya,4.0,125.0
Ankara,-127.0,79.0
Antalya,-203.0,-77.0
Artvin,240.0,150.0
Aydın,-347.0,-40.0
Balıkesir,-340.0,75.0
Bilecik,-241.0,98.0
Bingöl,200.0,34.0
Bitlis,260.0,10.0
Bolu,-183.0,106.0
Burdur,-254.0,-50.0
Bursa,-292.0,90.0
Çanakkale,-383.0,91.0
Çankırı,-114.0,124.0
Çorum,-58.0,111.0
Denizli,-285.0,-27.0
Diyarbakır,170.0,-12.0
Edirne,-384.0,160.0
Elazığ,138.0,15.0
Erzincan,133.0,74.0
Erzurum,214.0,97.0
Eskişehir,-211.0,67.0
Gaziantep,50.0,-71.0
Giresun,102.0,125.0
Gümüşhane,120.0,107.0
Hakkari,341.0,-27.0
Hatay,16.0,-115.0
Isparta,-220.0,-25.0
Mersin,-89.0,-100.0
İstanbul,-289.0,154.0
İzmir,-350.0,-5.0
Kars,291.0,124.0
Kastamonu,-101.0,159.0
Kayseri,-13.0,12.0
Kırklareli,-340.0,178.0
Kırşehir,-84.0,43.0
Kocaeli,-261.0,128.0
Konya,-157.0,-17.0
Kütahya,-272.0,47.0
Malatya,87.0,3.0
Manisa,-325.0,15.0
Kahramanmaraş,25.0,-33.0
Mardin,198.0,-50.0
Muğla,-328.0,-65.0
Muş,244.0,39.0
Nevşehir,-54.0,15.0
Niğde,-49.0,-29.0
Ordu,64.0,133.0
Rize,201.0,142.0
Sakarya,-219.0,124.0
Samsun,2.0,150.0
Siirt,265.0,-13.0
Sinop,-40.0,170.0
Sivas,53.0,55.0
Tekirdağ,-346.0,142.0
Tokat,19.0,104.0
Trabzon,152.0,130.0
Tunceli,139.0,46.0
Şanlıurfa,115.0,-68.0
Uşak,-276.0,9.0
Van,332.0,16.0
Yozgat,-38.0,69.0
Zonguldak,-193.0,140.0
Aksaray,-91.0,-7.0
Bayburt,176.0,95.0
Karaman,-113.0,-72.0
Kırıkkale,-87.0,76.0
Batman,225.0,-15.0
Şırnak,275.0,-43.0
Bartın,-148.0,165.0
Ardahan,275.0,155.0
Iğdır,334.0,100.0
Yalova,-286.0,118.0
Karabük,-136.0,143.0
Kilis,57.0,-91.0
Osmaniye,17.0,-60.0
Düzce,-192.0,130.0
